id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35910702,Duplex zen,270104552,Brigitte,Bordeaux,Nansouty - Saint Gens,44.82555,-0.58539,Private room,60,2,19,2020-09-03,0.77,1,90
35921348,T2 SPACIEUX A 100M DU TRAM LIGNE B,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.82669,-0.55917,Entire home/apt,45,30,0,,,11,37
35921653,TRES BEAU DEUX PIECES AU COEUR DE BORDEAUX,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.82675,-0.55935,Entire home/apt,45,30,0,,,11,39
35921862,BEAU STUDIO 20M2,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.8265,-0.55792,Entire home/apt,25,30,0,,,11,37
35922061,GRAND STUDIO 22M2 RDC,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.8246,-0.55768,Entire home/apt,25,30,0,,,11,37
35922232,BEAU STUDIO 18M2 RDC,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.8261,-0.55983,Entire home/apt,25,30,0,,,11,66
35922394,GRAND STUDIO 26M2 RDC  CALME cote cours,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.82681,-0.55782,Entire home/apt,25,30,0,,,11,37
35922519,GRAND T1 - 2ème étage/2  - 25m2,173639954,Snc Résidence Saint Genes,Bordeaux,Bordeaux Sud,44.82698,-0.56001,Entire home/apt,30,30,2,2021-06-12,0.13,11,37
35924213,MAISON D’ARCHITECTE/PISCINE/PARKING,270216401,François,Eysines,Eysines,44.86315,-0.64983,Entire home/apt,280,5,8,2020-08-08,0.33,1,0
35931307,Chambre double sdb privée dans maison individuelle,270259494,Dominique,Merignac,La Glacire,44.83567,-0.61285,Private room,35,1,68,2020-02-27,2.77,1,0
35934795,Appartement typique dans le centre historique,18204193,Amélie,Bordeaux,Bordeaux Sud,44.83537,-0.56344,Entire home/apt,60,1,21,2020-01-26,0.85,1,0
35936279,Studio chic Hyper centre de Bordeaux Classé 3*,126445996,Cécile,Bordeaux,Centre ville (Bordeaux),44.83728,-0.57437,Entire home/apt,100,1,26,2020-03-06,1.05,2,355
35958080,Studio Begles indépendant totalement refait à neuf,23157793,Sandra,Bgles,Bgles,44.81211,-0.54541,Entire home/apt,42,4,24,2019-07-01,0.97,2,36
35958678,Charmant T2 vue sur les quais,121802383,Anh,Bordeaux,Bordeaux Sud,44.83532,-0.56561,Entire home/apt,45,3,10,2020-01-01,0.47,1,0
35962884,Independent modern room-private bathroom -PESSAC,17710640,Francoise,Pessac,Brivazac-Candau,44.80625,-0.61483,Private room,45,2,8,2019-11-21,0.36,2,316
35963983,T3 aux portes de Bordeaux,29884674,Aurélien,Talence,Talence,44.81663,-0.59279,Entire home/apt,98,1,6,2019-08-22,0.25,1,0
35965880,Maison  120m2 climatisée avec piscine chauffée,36354363,Thierry,Bordeaux,Caudran,44.8514,-0.6294,Entire home/apt,180,7,6,2020-09-05,0.51,1,221
35969798,Peaceful house near Bordeaux,18580027,Stéphane,Talence,Talence,44.80965,-0.58644,Entire home/apt,90,5,5,2019-07-27,0.21,1,345
35982434,T2 neuf avec balcon sud - 200m du TRAM,270686585,Clément,Merignac,Centre ville (Merignac),44.84187,-0.66038,Entire home/apt,63,2,11,2021-05-31,0.57,1,309
35983454,Bel appartement 6/8 personnes avec Terrasse,270692263,Marie-Noëlle,Bordeaux,Nansouty - Saint Gens,44.82375,-0.5856,Entire home/apt,153,7,0,,,1,365
